                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4456,                 3.3797,                 1.5142,                0.00366,                0.91892,                0.24676,                0.17676,                0.84545,                 3.5301,                 1.2467,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.3191,                 2.3623,                 1.2988,                0.83584,                0.10811,                 0.5931,                 0.2845,                 1.1484,                 3.3112,                 1.4086,               0.059455,              0.0044554,              0.0044554
                      2,                 1.2259,                 1.4708,                 1.1806,                 0.8523,                0.51351,                0.64282,                0.33893,                 1.5384,                 2.7449,                 1.5423,               0.038665,              0.0066654,              0.0066654
                      3,                 1.2655,                    1.3,                 1.2223,                0.62362,                0.51351,                0.62132,                0.34291,                 1.4859,                 2.4383,                 1.5192,                0.01783,              0.0088297,              0.0088297
                      4,                 1.2083,                  1.243,                 1.2251,                0.70714,                0.48649,                0.58533,                0.29594,                 1.6092,                 2.3772,                 1.5843,               0.009604,               0.009604,               0.009604
                      5,                 1.2487,                 1.1998,                 1.2211,                 0.6596,                0.45946,                0.59551,                0.27794,                  1.799,                 2.4891,                 1.8196,               0.009604,               0.009604,               0.009604
                      6,                 1.1632,                 1.1067,                 1.1652,                0.83834,                0.51351,                0.68906,                0.32232,                 1.8001,                 2.2504,                 1.7224,               0.009505,               0.009505,               0.009505
                      7,                 1.1141,                 1.0343,                 1.1761,                0.80565,                0.33655,                0.52195,                 0.2784,                 1.7678,                 2.5232,                  1.681,               0.009406,               0.009406,               0.009406
                      8,                 1.1032,                0.97956,                 1.1501,                0.81805,                0.78378,                0.77911,                0.43245,                 1.5329,                 1.6482,                 1.4877,               0.009307,               0.009307,               0.009307
                      9,                 1.0897,                0.97467,                 1.1551,                0.59192,                0.62162,                0.57217,                0.28969,                 1.7825,                 1.9288,                 1.6764,               0.009208,               0.009208,               0.009208
                     10,                 1.0184,                0.89915,                 1.1228,                0.86554,                0.72973,                0.82782,                0.49384,                 1.5145,                 1.4833,                 1.5301,               0.009109,               0.009109,               0.009109
                     11,                 1.0661,                0.86758,                 1.1386,                0.82651,                0.77271,                0.80234,                0.44673,                 1.5057,                 1.3566,                 1.4604,                0.00901,                0.00901,                0.00901
                     12,                 1.0101,                0.81825,                 1.1308,                0.74625,                 0.2973,                0.40263,                 0.2142,                 1.9766,                 2.6485,                 1.9407,               0.008911,               0.008911,               0.008911
                     13,                 1.0255,                0.82488,                 1.1396,                 0.8036,                0.51351,                0.57866,                0.31508,                 1.6865,                 1.7786,                 1.6471,               0.008812,               0.008812,               0.008812
                     14,                 1.0319,                0.81249,                 1.1222,                0.81564,                0.71764,                0.78131,                0.50752,                 1.3567,                 1.2848,                 1.3762,               0.008713,               0.008713,               0.008713
                     15,                0.97939,                 0.7499,                  1.094,                0.90283,                0.67568,                0.83485,                 0.4898,                 1.3213,                 1.2381,                 1.3966,               0.008614,               0.008614,               0.008614
                     16,                   0.96,                0.75401,                 1.0865,                0.88697,                0.62162,                0.71712,                0.38421,                 1.5272,                 1.6565,                 1.6475,               0.008515,               0.008515,               0.008515
                     17,                0.98696,                0.71932,                 1.0823,                0.85799,                0.83784,                0.83646,                0.46969,                 1.5919,                 1.1998,                 1.6335,               0.008416,               0.008416,               0.008416
                     18,                0.89307,                0.69385,                 1.0625,                0.70314,                0.72973,                0.76955,                 0.3497,                 1.9808,                 1.4275,                 1.8465,               0.008317,               0.008317,               0.008317
                     19,                0.92548,                0.68769,                 1.0753,                0.57911,                0.51351,                0.54379,                0.30437,                 1.6175,                 2.0164,                 1.6272,               0.008218,               0.008218,               0.008218
                     20,                0.87053,                  0.658,                 1.0403,                0.72658,                0.48649,                0.53824,                0.30921,                  1.886,                 2.0202,                 1.8322,               0.008119,               0.008119,               0.008119
                     21,                0.90213,                0.66418,                 1.0657,                0.86902,                0.81081,                 0.8385,                0.54567,                 1.3857,                 1.0162,                 1.3739,                0.00802,                0.00802,                0.00802
                     22,                0.87158,                0.64106,                 1.0514,                 0.9629,                0.70152,                0.79767,                0.54818,                 1.1835,                 1.0641,                 1.2585,               0.007921,               0.007921,               0.007921
                     23,                0.90236,                0.66736,                 1.0614,                0.86954,                0.72079,                0.77638,                 0.4922,                 1.3801,                 1.2445,                  1.389,               0.007822,               0.007822,               0.007822
                     24,                0.86416,                 0.6232,                 1.0422,                0.75621,                0.75459,                0.73782,                0.46082,                 1.4245,                 1.2406,                  1.444,               0.007723,               0.007723,               0.007723
                     25,                0.84951,                0.61941,                 1.0381,                0.88364,                0.67568,                0.80144,                0.45537,                 1.5339,                 1.3268,                 1.5583,               0.007624,               0.007624,               0.007624
                     26,                0.83182,                0.59998,                 1.0599,                0.92698,                0.81081,                 0.8996,                0.56962,                  1.328,                 1.0387,                 1.3568,               0.007525,               0.007525,               0.007525
                     27,                0.82326,                0.60806,                 1.0155,                 0.7353,                 0.6757,                 0.7656,                0.39208,                 1.7264,                 1.3281,                 1.6269,               0.007426,               0.007426,               0.007426
                     28,                0.85113,                0.58587,                 1.0363,                 0.9038,                0.78378,                0.87296,                0.53458,                 1.3947,                 1.0095,                 1.4047,               0.007327,               0.007327,               0.007327
                     29,                0.82191,                0.57595,                 1.0135,                0.79617,                0.72973,                0.75501,                0.46578,                 1.5209,                 1.3484,                 1.5302,               0.007228,               0.007228,               0.007228
                     30,                0.80232,                0.60054,                 1.0429,                0.81726,                0.75676,                0.73313,                0.43507,                 1.4654,                 1.2735,                 1.5448,               0.007129,               0.007129,               0.007129
                     31,                0.80382,                0.55712,                 1.0339,                0.95903,                 0.7027,                0.80303,                0.46563,                 1.5862,                 1.1847,                 1.5882,                0.00703,                0.00703,                0.00703
                     32,                0.77693,                0.54002,                 1.0207,                0.93486,                0.77592,                 0.8286,                0.53409,                 1.3476,                 1.2292,                  1.397,               0.006931,               0.006931,               0.006931
                     33,                0.76482,                 0.5407,                 1.0069,                0.85275,                0.81081,                0.83744,                0.50942,                 1.3887,                 1.1552,                 1.4224,               0.006832,               0.006832,               0.006832
                     34,                0.76279,                0.56401,                 1.0144,                0.93892,                0.56757,                0.73057,                0.45049,                 1.5259,                 1.4527,                 1.5418,               0.006733,               0.006733,               0.006733
                     35,                0.78664,                0.54539,                 1.0134,                0.89376,                0.51351,                0.66724,                0.42618,                 1.4168,                 1.6104,                 1.4498,               0.006634,               0.006634,               0.006634
                     36,                0.78401,                0.57655,                 1.0366,                0.84878,                0.75855,                0.85478,                0.56255,                  1.235,                 1.0522,                 1.3167,               0.006535,               0.006535,               0.006535
                     37,                0.75321,                0.54425,                 1.0003,                0.84402,                0.58521,                0.69088,                0.41853,                 1.5575,                 1.8425,                 1.5217,               0.006436,               0.006436,               0.006436
                     38,                0.75279,                 0.5317,                 1.0109,                0.70982,                0.59501,                0.69585,                0.41929,                 1.4889,                  1.635,                 1.5146,               0.006337,               0.006337,               0.006337
                     39,                0.75831,                 0.5248,                 1.0078,                0.83427,                0.81643,                0.87967,                0.59175,                 1.1759,                0.90308,                 1.2518,               0.006238,               0.006238,               0.006238
                     40,                0.71273,                 0.5177,                0.98631,                 0.7916,                 0.7027,                0.82082,                0.45554,                 1.6263,                 1.4129,                 1.5097,               0.006139,               0.006139,               0.006139
                     41,                0.75699,                0.50065,                 1.0113,                      1,                 0.3634,                0.57119,                0.31025,                 1.7758,                 2.6195,                 1.6844,                0.00604,                0.00604,                0.00604
                     42,                0.72489,                0.48895,                0.99422,                0.85471,                0.64865,                0.73898,                0.41077,                  1.648,                 1.4279,                 1.4766,               0.005941,               0.005941,               0.005941
                     43,                0.73971,                 0.4977,                0.97842,                0.96746,                0.80375,                0.88611,                0.60067,                 1.2646,                0.83468,                 1.3182,               0.005842,               0.005842,               0.005842
                     44,                0.71646,                0.46492,                0.96831,                0.98822,                0.86486,                0.93886,                 0.5734,                 1.3974,                0.82254,                 1.4026,               0.005743,               0.005743,               0.005743
                     45,                 0.6929,                0.47753,                 0.9849,                0.97042,                0.88683,                0.96768,                0.62337,                 1.2998,                 0.6625,                 1.3285,               0.005644,               0.005644,               0.005644
                     46,                0.68542,                0.47826,                0.97366,                0.93916,                0.83444,                0.90693,                 0.6043,                  1.206,                 1.0125,                 1.3024,               0.005545,               0.005545,               0.005545
                     47,                0.68824,                0.47539,                0.97755,                0.96056,                0.65849,                0.80473,                0.51495,                 1.3744,                 1.3612,                 1.4541,               0.005446,               0.005446,               0.005446
                     48,                0.67647,                0.46714,                0.95567,                0.92723,                0.75676,                0.80778,                0.50761,                  1.362,                 1.1362,                 1.3922,               0.005347,               0.005347,               0.005347
                     49,                0.69426,                 0.4719,                0.97229,                0.91706,                0.29894,                0.44562,                0.26628,                 1.7759,                 2.9106,                 1.7831,               0.005248,               0.005248,               0.005248
                     50,                0.69278,                0.48646,                0.98655,                      1,                0.48276,                0.63994,                0.41808,                 1.4756,                 1.6628,                 1.5289,               0.005149,               0.005149,               0.005149
                     51,                0.67228,                0.48105,                0.98843,                0.98729,                 0.7027,                0.84275,                0.52146,                 1.4768,                 1.1742,                 1.5104,                0.00505,                0.00505,                0.00505
                     52,                0.66355,                0.44376,                0.96511,                0.89266,                 0.6743,                 0.8065,                0.43481,                 1.6909,                 1.3179,                 1.6122,               0.004951,               0.004951,               0.004951
                     53,                0.68138,                0.45124,                0.95527,                 0.9137,                0.72973,                0.79576,                0.44691,                 1.5819,                 1.3775,                 1.5432,               0.004852,               0.004852,               0.004852
                     54,                0.65643,                0.43888,                0.95799,                0.93122,                0.73191,                0.82131,                0.50878,                 1.4584,                 1.1575,                 1.4702,               0.004753,               0.004753,               0.004753
                     55,                0.66333,                0.45875,                0.97664,                0.94703,                0.48335,                0.65338,                 0.3724,                 1.7145,                 2.0592,                 1.5711,               0.004654,               0.004654,               0.004654
                     56,                0.69051,                 0.4596,                0.97042,                0.93035,                 0.7222,                0.81413,                0.51951,                 1.4409,                 1.2007,                 1.4181,               0.004555,               0.004555,               0.004555
                     57,                0.62852,                0.41958,                0.96264,                0.88578,                0.54054,                0.71834,                0.45882,                 1.5785,                 1.6892,                 1.5567,               0.004456,               0.004456,               0.004456
                     58,                0.61672,                0.42935,                0.94249,                0.93521,                0.78032,                0.87884,                0.57157,                 1.3606,                0.96421,                 1.3964,               0.004357,               0.004357,               0.004357
                     59,                0.60157,                0.41105,                0.93594,                0.88795,                0.72973,                  0.811,                0.51416,                 1.4983,                 1.2273,                 1.5197,               0.004258,               0.004258,               0.004258
                     60,                0.65523,                0.42905,                0.95235,                0.86815,                0.56757,                0.73277,                0.43634,                 1.7077,                 1.7057,                 1.6613,               0.004159,               0.004159,               0.004159
                     61,                0.62317,                0.41097,                 0.9481,                0.91869,                0.62162,                0.73696,                0.43753,                   1.76,                 1.7033,                 1.7046,                0.00406,                0.00406,                0.00406
                     62,                0.59452,                0.39963,                0.91033,                0.93576,                0.56757,                0.77565,                0.46163,                 1.5856,                 1.6547,                  1.586,               0.003961,               0.003961,               0.003961
                     63,                0.65471,                0.44126,                0.96693,                0.92213,                 0.6403,                0.79304,                0.50752,                 1.5173,                 1.6038,                 1.4589,               0.003862,               0.003862,               0.003862
                     64,                0.60476,                0.42063,                0.92785,                0.92834,                0.70035,                0.87283,                0.52432,                 1.5556,                 1.3903,                 1.5156,               0.003763,               0.003763,               0.003763
                     65,                0.60023,                0.41656,                0.93112,                0.96398,                 0.7235,                0.85246,                0.49592,                 1.5878,                 1.3585,                 1.5201,               0.003664,               0.003664,               0.003664
                     66,                0.60029,                0.40617,                0.94287,                0.92847,                 0.7017,                0.79603,                0.52193,                 1.3548,                 1.4342,                 1.3948,               0.003565,               0.003565,               0.003565
                     67,                0.59222,                0.40015,                0.93348,                 0.9645,                0.73436,                 0.8213,                0.51149,                 1.4121,                 1.2873,                  1.419,               0.003466,               0.003466,               0.003466
                     68,                0.58572,                0.38508,                0.93592,                0.91988,                0.81081,                0.86222,                0.54494,                 1.3614,                 1.0141,                 1.3239,               0.003367,               0.003367,               0.003367
                     69,                0.58912,                0.39657,                0.92525,                0.88684,                0.84746,                0.88941,                0.56464,                 1.3721,                 1.0085,                 1.3966,               0.003268,               0.003268,               0.003268
                     70,                0.57309,                0.40534,                0.92844,                0.82963,                0.65826,                 0.7443,                 0.4353,                 1.6318,                 1.5311,                 1.5934,               0.003169,               0.003169,               0.003169
                     71,                 0.5546,                0.38604,                0.93616,                0.87597,                0.72973,                0.77181,                0.49853,                 1.4529,                  1.347,                  1.485,                0.00307,                0.00307,                0.00307
                     72,                0.55753,                0.37756,                0.93068,                0.91169,                0.64865,                0.72556,                0.46386,                  1.506,                 1.7113,                 1.5146,               0.002971,               0.002971,               0.002971
                     73,                 0.5765,                0.38717,                0.91951,                 0.9277,                0.83784,                0.92691,                0.55077,                  1.303,                0.76452,                  1.362,               0.002872,               0.002872,               0.002872
                     74,                0.55566,                0.39082,                0.93536,                0.84454,                0.73426,                0.82214,                0.55352,                 1.3286,                 1.1123,                 1.4113,               0.002773,               0.002773,               0.002773
                     75,                0.53371,                0.35876,                0.91557,                0.93119,                0.67568,                0.83965,                0.57153,                 1.2916,                 1.1839,                  1.346,               0.002674,               0.002674,               0.002674
                     76,                0.49779,                0.35944,                0.90583,                0.96454,                0.73529,                0.86325,                0.56732,                 1.3743,                 1.1248,                 1.3836,               0.002575,               0.002575,               0.002575
                     77,                0.54172,                0.36248,                0.92486,                0.90508,                0.77332,                0.87318,                0.57996,                 1.3381,                 1.0817,                 1.3519,               0.002476,               0.002476,               0.002476
                     78,                0.53042,                0.35957,                0.90944,                0.91746,                0.75676,                0.84488,                0.56259,                 1.3441,                 1.1097,                 1.3741,               0.002377,               0.002377,               0.002377
                     79,                0.49909,                0.34929,                0.91841,                0.99559,                 0.7027,                0.76509,                0.49138,                  1.437,                 1.4379,                 1.4219,               0.002278,               0.002278,               0.002278
                     80,                  0.526,                0.35583,                0.91473,                0.89722,                0.70797,                0.79539,                0.49218,                 1.4973,                 1.3345,                 1.4822,               0.002179,               0.002179,               0.002179
                     81,                0.53615,                0.36003,                0.91042,                 0.9291,                0.59459,                0.75938,                0.47328,                 1.5642,                 1.6389,                 1.5479,                0.00208,                0.00208,                0.00208
                     82,                0.49747,                 0.3341,                0.91913,                0.95512,                0.57543,                0.77334,                 0.4931,                 1.5058,                 1.5798,                 1.4834,               0.001981,               0.001981,               0.001981
                     83,                0.51914,                0.35138,                0.91154,                0.96731,                0.79991,                0.87628,                0.57317,                 1.3615,                 1.0448,                 1.3721,               0.001882,               0.001882,               0.001882
                     84,                0.53011,                0.36321,                0.90538,                 0.9675,                0.80474,                0.88141,                0.56703,                 1.3428,                0.96318,                 1.3654,               0.001783,               0.001783,               0.001783
                     85,                0.49928,                0.34044,                0.91021,                0.93139,                0.73395,                 0.8655,                0.54699,                 1.4675,                 1.1422,                 1.4344,               0.001684,               0.001684,               0.001684
                     86,                0.49559,                0.33643,                0.91314,                      1,                0.67167,                0.81323,                0.52476,                  1.443,                 1.4093,                 1.4165,               0.001585,               0.001585,               0.001585
                     87,                0.49772,                0.32599,                0.90687,                      1,                0.71266,                0.83748,                0.55602,                 1.4002,                 1.3523,                 1.4068,               0.001486,               0.001486,               0.001486
                     88,                0.48123,                0.33142,                0.90573,                      1,                0.57495,                0.77294,                0.51649,                 1.4636,                 1.7617,                 1.4519,               0.001387,               0.001387,               0.001387
                     89,                0.48137,                0.33107,                0.91023,                      1,                0.62798,                0.80149,                 0.5275,                 1.4045,                 1.5725,                 1.4351,               0.001288,               0.001288,               0.001288
                     90,                0.48573,                  0.323,                0.89952,                0.96648,                0.59459,                  0.768,                0.51714,                 1.4462,                 1.7381,                 1.4607,               0.001189,               0.001189,               0.001189
                     91,                0.46376,                0.30581,                0.88983,                0.96541,                0.56757,                0.74579,                0.49878,                 1.4131,                 1.6978,                 1.4327,                0.00109,                0.00109,                0.00109
                     92,                0.44848,                0.30842,                 0.8931,                      1,                0.63181,                0.78095,                0.50832,                 1.4199,                 1.4988,                 1.4264,               0.000991,               0.000991,               0.000991
                     93,                0.44458,                0.30834,                0.87472,                      1,                 0.6756,                 0.8489,                0.56344,                 1.3736,                 1.2776,                 1.3918,               0.000892,               0.000892,               0.000892
                     94,                0.49722,                0.33374,                0.91675,                      1,                0.73506,                0.88571,                0.58128,                 1.3498,                 1.0505,                 1.3835,               0.000793,               0.000793,               0.000793
                     95,                0.44241,                0.30619,                0.89507,                      1,                 0.7005,                0.88305,                 0.5871,                 1.3176,                 1.0142,                 1.3512,               0.000694,               0.000694,               0.000694
